tender_ref,title,category,closing_date,num_documents,downloaded_paths
,"Supply and Deliver of Livestock, Poultry Production Inputs and Material (7,8,11,13&18)",Supplies: General,in 11 days,0,
,North-East Grid: Phase out of Asbestos Material in various substations,Remediation activities and other waste management services,in 18 days,0,
,The replacement of the existing DPI (Dip proof inverters) with control uninterruptable power supplies (UPSs) for Kriel Power Station 6 units for a period of 2 years.,Services: Electrical,in 23 days,1,/mnt/c/Users/allan/OneDrive/Documents/tender-engine-api/downloads/The replacement of t_CONSTRUCTION_SUPPLY/RP_240-90489606 Rev 3 24 May 2022_Final-signed.pdf
,"The Request for Proposal and Subsequent award of a contract for a Turn-key project for the Design, Supply and installation of Solar Photovoltaic (PV), Inverter and Battery Energy Storage System (BESS) and Post Installation Maintenance for a period of 24 months for St Joseph’s Solar System House Project in KZN Operating Unit.","Electricity, gas, steam and air conditioning",in 32 days,1,/mnt/c/Users/allan/OneDrive/Documents/tender-engine-api/downloads/The Request for Prop_CONSTRUCTION_SUPPLY/Bidders Document - St Joseph's Solar Panel House Project.docx
,"ESTABLISHMENT OF A ONCE-OFF AGREEMENT FOR PURCHASE, COLLECTION AND DISPOSAL OF SCRAP 1 X 180MVA TRANSFORMER AT ESSELEN SUBSTATION ON A ONCE-OFF CONTRACT AGREEMENT",Disposals: General,in 15 days,0,
,"Construction of 36m reinforced concrete pedestrian bridge over Mhlathuzana River in Nazareth, Ward 16",Services: General,in 18 days,0,
,"Request for Proposals of an experienced and qualified service provider to design, facilitate, and implement Gender, Diversity and Inclusion Dialogue Programmes at SALGA",Services: Professional,in 4 days,0,
,"EXPRESSION OF INTEREST FOR APPOINTMENT OF A PANEL OF A SERVICE PROVIDERS FOR SUPPLY AND DELIVERY OF FIREARMS, AMMUNITION AND FIREARM ACCESSORIES FOR A PERIOD OF THREE (03) YEARS",Other service activities,in 34 days,0,
,"GENERAL BUILDING MAINTENANCE FOR EDUCATION, HEALTH FACILITIES AND OTHER IMMOVABLE GOVERNMENT ASSETS AT EHLANZENI, BOHLABELA, GERT SIBANDE AND NKANGALA DISTRICT FOR A PERIOD OF THREE (3) YEARS - GRADE 2GB TO 6GB (WITH AN OPTION TO EXTEND)",Services: General,in 30 days,0,
,"Supply and Deliver of Fencing Material, Inputs and Equipment (Ward 3,5,7,8&9)",Supplies: General,in 11 days,0,
,Coastal Stormwater and Catchment Management Central Coastal Area Based Infrastructure Repairs Maintenance Contract for 36 months: North Central Region,Services: General,in 32 days,0,
,Coastal Stormwater and Catchment Management Central Coastal Area Based Infrastructure Repairs Maintenance Contract for 36 months: Western Region,Services: General,in 32 days,0,
,THE RFQ FOR THE SUPPLY AND DELIVERY OF A FRONT LOADER WASHING MACHINE FOR FLORISBAD,Supplies: General,in 11 days,0,
,"Construction of 36m reinforced concrete pedestrian bridge in the Zambia area, Amaoti, Ward 57",Services: General,in 18 days,0,
,FOR THE PROVISION OF DATA ARCHIVING APPLIANCE AND INFRASTRUCTURE FOR A PERIOD OF THREE (3) YEARS,Information and communication,in 18 days,0,
,"THE APPOINTMENT OF SERVICE PROVIDER(S) TO CONDUCT DETAILED CONDITION ASSESSMENTS OF TUGS, PILOT BOATS, AND WORKBOATS ACROSS FOUR (4) PORTS IN THREE REGIONS OF TRANSNET NATIONAL PORTS AUTHORITY FOR A PERIOD OF SIX (6) MONTHS.",Services: Professional,in 24 days,0,
,SUPPLY AND DELIVERY OF GREY CRUSHED DOLERITE,Supplies: General,in 7 days,0,
,"GENERAL BUILDING MAINTENANCE FOR EDUCATION, HEALTH FACILITIES AND OTHER IMMOVABLE GOVERNMENT ASSETS AT EHLANZENI, BOHLABELA, GERT SIBANDE AND NKANGALA DISTRICT FOR A PERIOD OF THREE (3) YEARS - GRADE 7GB OR HIGHER (WITH AN OPTION TO EXTEND)",Services: General,in 30 days,0,
,SUPPLY AND DELIVERY OF DOMESTIC ELECTRIAL MATERIALS,Supplies: Electrical Equipment,in 9 days,0,
,CONSTRUCTION OF A BOREHOLE CHAMBER IN LEEU-GAMKA,Specialised construction activities,in 17 days,0,
,"Supply, delivery and Installation of 12 Ha Solidset Springler Irrigation at Mthakatye Irrigation scheme in Nyandeni Local Municipality of the OR Tambo District",Civil engineering,in 21 days,0,
,Provision of security services for the Kwa-Bhaca DoA Office in the Alfred Nzo District for a period of 36 months,Services: Functional (Including Cleaning and Security Services),in 21 days,0,
